0,1,2,3,4,5,6,7,8,9,10
0,3.83,6.95,10.37,13.01,15.7,18.68,20.52,23.49,25.66,27.2
0,23.22,40.21,55.47,68.95,83.85,95.89,107.02,117.8,126.95,136.26
0,14.16,25.77,37.3,47.48,59.41,67.35,78.04,88.04,94.12,102.05
0,28.51,52.15,68.73,83.99,96.99,108.68,118.67,129.65,137.46,146.82
0,30.66,49.46,67.91,83.88,96.07,108.1,119.98,129.88,137.86,147.18
0,30.41,52.21,69.06,84.59,98.49,109.66,119.7,130.79,139.39,148.58
