0,1,2,3,4,5,6,7,8,9,10
0,1.52,3.08,4.5,5.9,7.73,8.98,10.48,11.4,12.96,13.88
0,12.01,20.17,28.11,36.22,44.38,49.76,54.53,59.39,64.75,69.0
0,7.65,14.03,20.39,26.11,34.41,39.04,42.76,48.39,54.19,57.16
0,13.59,22.1,31.69,40.71,48.92,54.98,61.07,65.66,70.78,75.96
0,13.52,23.39,32.42,40.35,48.61,54.43,59.7,65.64,71.74,75.96
0,14.05,24.65,33.45,41.0,49.77,55.59,61.66,66.47,72.05,77.05
